boq_item,room,description,unit,qty,unit_price,total
R1-M.A.740-26/1,entrance_salon,Supply and installation wall cladding included 2 cabinet Made of MDF W/R with Beech veneer stain finish size 5000 x H = 2800 mm x (D= 450 mm for shelving cabinet & D = 600 mm for ABAYA cabinet include LED Light under the cladding @ G.F. Entrance as per desgin,m2,14.0,1100.0,15400.0
R1-M.A.740-26/1a,entrance_salon,Supply and installation Soundproog Rubber wall Cladding with Gybsum board and Rock wool base paint @ G.F. TV Wall,m2,21.0,475.0,9975.0
R1-M.A.740-26/2,entrance_salon,Supply and installation open shelves made of MDF W/R with doku paint size W= 1400 x H = 2800 mmx D = 350mm @ G.F. salon ( on either side of the TV ) as per desgin,unit,2.0,4893.0,9786.0
R1-M.A.740-26/3,entrance_salon,Supply and installation 6 wall shelves different sizes MDF W/R with doku paint @ G.F. Salon as per design,LS,1.0,2200.0,2000.0
R1-M.A.740-26/4,entrance_salon,Supply and installation wall cladding included Niche Made of Gypsumn Board with Paint finish size W = 2400 x H = 2800 mm x D = 350 mm@ G.F. salon( TV backround ) as per design,Unit,1.0,2500.0,2500.0
R1-M.A.740-26/5,entrance_salon,Supply and installation wall Cladding Cement board with base paint & Ceiling paint @ G.F. Guests Bathroom,LS,1.0,2000.0,2000.0
R1-M.A.740-26/6,entrance_salon,removing the decorative Gypsum on the ceiling and paint @ G.F. Entrance,LS,1.0,800.0,800.0
R1-M.A.740-26/7,entrance_salon,supply and Apply wall & Ceiling paint @ Entarnce Salon,M2,70.0,35.0,2450.0
R1-M.A.740-26/8,powder_room_aziza,Supply and installation Dressing cabinet with drawers makeup table Made of MDF and the solid wood molding door leaf doku paint finish size W = 2400 x H = 2800 mmx D =500 mm as per design,unit,1.0,6850.0,6850.0
R1-M.A.740-26/9,powder_room_aziza,Supply and installation Closet with shelves Made of MDF and solid wood molding door leaf size W = 1200 x H = 2800 mmx D =350 mm,Unit,2.0,3800.0,7600.0
R1-M.A.740-26/10,bathroom_aziza,Removing the porcelain floors and walls in tow bathroom and glass of the shower and sink included the making new insulation,LS,1.0,2500.0,2500.0
R1-M.A.740-26/11,bathroom_aziza,Installation of porcelain for flooring and wall @ shower area,LS,1.0,3250.0,3250.0
R1-M.A.740-26/12,bathroom_aziza,Supply and installation 3 leaf cabinet Made of MDF with Beech veneer finish size W = 1700 x H = 2800 mmx D =500 mm @ as per design,Unit,1.0,4760.0,4760.0
